GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
P_comprehensive_subnat,Subnational smoking bans - at least one jurisdiction has a comprehensive ban in place,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1242,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,Yes,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Yes,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Yes,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,5,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Missing value,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Missing value,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,3,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,No,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,No,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,Yes,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
