GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
P_comprehensive_subnat,Subnational smoking bans - at least one jurisdiction has a comprehensive ban in place,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1242,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,Yes,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,Not applicable,,,,,,
P9_all_other,Smoke-free other indoor public places (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1240,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,Not applicable,,,,,,
